query_label,genotype,tissue,subset,source,native,name,p_value,term_size,query_size,intersection_size
Col-0:root:all,Col-0,root,all,GO:BP,GO:0042221,response to chemical,4.291033177889722e-22,2891,785,186
Col-0:root:all,Col-0,root,all,GO:BP,GO:0050896,response to stimulus,6.1819391141576535e-21,5781,785,294
Col-0:root:all,Col-0,root,all,GO:MF,GO:0022857,transmembrane transporter activity,3.1089227811518e-11,1129,785,82
Col-0:root:all,Col-0,root,all,GO:MF,GO:0005215,transporter activity,3.8578143212084616e-11,1155,785,83
Col-0:root:all,Col-0,root,all,GO:BP,GO:0009636,response to toxic substance,3.9796319089784797e-11,314,785,39
Col-0:root:all,Col-0,root,all,GO:BP,GO:0055085,transmembrane transport,1.1861680286634012e-10,1206,785,85
Col-0:root:all,Col-0,root,all,GO:CC,GO:0005576,extracellular region,1.6708244417411653e-10,1545,785,98
Col-0:root:all,Col-0,root,all,GO:MF,GO:0016491,oxidoreductase activity,2.661391127805332e-10,1421,785,93
Col-0:root:all,Col-0,root,all,GO:MF,GO:0003824,catalytic activity,2.678881870869075e-09,8921,785,356
Col-0:root:all,Col-0,root,all,GO:BP,GO:0006950,response to stress,3.927273960135594e-09,3579,785,176
Col-0:root:all,Col-0,root,all,GO:MF,GO:0016798,"hydrolase activity, acting on glycosyl bonds",2.7269369477105836e-08,432,785,41
Col-0:root:all,Col-0,root,all,KEGG,KEGG:01100,Metabolic pathways,3.799460437361817e-08,2323,785,121
Col-0:root:all,Col-0,root,all,GO:BP,GO:0006790,sulfur compound metabolic process,7.939755399095042e-08,298,785,33
Col-0:root:all,Col-0,root,all,GO:BP,GO:0015698,inorganic anion transport,1.2363439714984613e-07,114,785,20
Col-0:root:all,Col-0,root,all,GO:MF,GO:0004497,monooxygenase activity,3.5384440998197303e-07,325,785,33
Col-0:root:all,Col-0,root,all,GO:BP,GO:0009407,toxin catabolic process,4.069462269249066e-07,46,785,13
Col-0:root:all,Col-0,root,all,GO:MF,GO:0004364,glutathione transferase activity,6.572986947104286e-07,60,785,14
Col-0:root:all,Col-0,root,all,GO:BP,GO:0098754,detoxification,6.751424095929698e-07,273,785,30
Col-0:root:all,Col-0,root,all,GO:BP,GO:0009404,toxin metabolic process,1.4141881007406191e-06,60,785,14
Col-0:root:all,Col-0,root,all,GO:BP,GO:0006749,glutathione metabolic process,3.939634325473055e-06,45,785,12
Col-0:root:all,Col-0,root,all,GO:MF,GO:0004568,chitinase activity,4.0174523958020134e-06,17,785,8
Col-0:root:all,Col-0,root,all,GO:BP,GO:0009628,response to abiotic stimulus,4.151487023217892e-06,2112,785,110
Col-0:root:all,Col-0,root,all,GO:BP,GO:1901700,response to oxygen-containing compound,5.143565581754756e-06,1638,785,91
Col-0:root:all,Col-0,root,all,GO:MF,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",5.985814233746593e-06,364,785,33
Col-0:root:all,Col-0,root,all,GO:BP,GO:0010038,response to metal ion,7.166324070714986e-06,218,785,25
Col-0:root:all,Col-0,root,all,GO:BP,GO:0006026,aminoglycan catabolic process,8.643609700058878e-06,17,785,8
Col-0:root:all,Col-0,root,all,GO:BP,GO:0006030,chitin metabolic process,8.643609700058878e-06,17,785,8
Col-0:root:all,Col-0,root,all,GO:BP,GO:0006022,aminoglycan metabolic process,8.643609700058878e-06,17,785,8
Col-0:root:all,Col-0,root,all,GO:BP,GO:1901072,glucosamine-containing compound catabolic process,8.643609700058878e-06,17,785,8
Col-0:root:all,Col-0,root,all,GO:BP,GO:0046348,amino sugar catabolic process,8.643609700058878e-06,17,785,8
Col-0:root:all,Col-0,root,all,GO:BP,GO:0006032,chitin catabolic process,8.643609700058878e-06,17,785,8
Col-0:root:all,Col-0,root,all,KEGG,KEGG:00480,Glutathione metabolism,1.6467467033837717e-05,102,785,15
Col-0:root:all,Col-0,root,all,GO:MF,GO:0020037,heme binding,2.446374100553486e-05,367,785,32
Col-0:root:all,Col-0,root,all,GO:BP,GO:1902025,nitrate import,2.684729107336757e-05,34,785,10
Col-0:root:all,Col-0,root,all,GO:MF,GO:0005372,water transmembrane transporter activity,4.6296787707097295e-05,22,785,8
Col-0:root:all,Col-0,root,all,GO:MF,GO:0015250,water channel activity,4.6296787707097295e-05,22,785,8
Col-0:root:all,Col-0,root,all,GO:BP,GO:0006979,response to oxidative stress,5.0316959173374675e-05,424,785,35
Col-0:root:all,Col-0,root,all,GO:CC,GO:0071944,cell periphery,0.00010112681206616913,2868,785,130
Col-0:root:all,Col-0,root,all,GO:BP,GO:0006810,transport,0.00010284012053821903,2406,785,116
Col-0:root:all,Col-0,root,all,GO:BP,GO:0009414,response to water deprivation,0.00010989275439245436,418,785,34
Col-0:root:all,Col-0,root,all,GO:BP,GO:0001101,response to acid chemical,0.00011068513565938515,458,785,36
Col-0:root:all,Col-0,root,all,GO:MF,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",0.00013704499888999875,396,785,32
Col-0:root:all,Col-0,root,all,GO:BP,GO:0071456,cellular response to hypoxia,0.0001776361663445412,239,785,24
Col-0:root:all,Col-0,root,all,GO:MF,GO:0015116,sulfate transmembrane transporter activity,0.00019062374256973046,12,785,6
Col-0:root:all,Col-0,root,all,GO:MF,GO:0008271,secondary active sulfate transmembrane transporter activity,0.00019062374256973046,12,785,6
Col-0:root:all,Col-0,root,all,KEGG,KEGG:00460,Cyanoamino acid metabolism,0.00019950379161335122,67,785,11
Col-0:root:all,Col-0,root,all,GO:MF,GO:0046906,tetrapyrrole binding,0.00020179320021395232,403,785,32
Col-0:root:all,Col-0,root,all,GO:BP,GO:0036294,cellular response to decreased oxygen levels,0.0002072720483735993,241,785,24
Col-0:root:all,Col-0,root,all,GO:BP,GO:0071453,cellular response to oxygen levels,0.0002072720483735993,241,785,24
Col-0:root:all,Col-0,root,all,GO:BP,GO:0009415,response to water,0.00021353870149558646,430,785,34
Col-0:root:all,Col-0,root,all,GO:BP,GO:0006865,amino acid transport,0.0002285903897774149,75,785,13
Col-0:root:all,Col-0,root,all,GO:CC,GO:0048046,apoplast,0.00027044568689684996,466,785,34
Col-0:root:all,Col-0,root,all,GO:BP,GO:0051234,establishment of localization,0.0002897958712358158,2455,785,116
Col-0:root:all,Col-0,root,all,GO:BP,GO:1902358,sulfate transmembrane transport,0.0004101298703772989,12,785,6
Col-0:root:all,Col-0,root,all,GO:MF,GO:0005506,iron ion binding,0.0004194168362744287,337,785,28
Col-0:root:all,Col-0,root,all,GO:BP,GO:0051179,localization,0.0004526225722787672,2559,785,119
Col-0:root:all,Col-0,root,all,GO:BP,GO:0005975,carbohydrate metabolic process,0.0005051905807820974,1055,785,61
Col-0:root:all,Col-0,root,all,GO:MF,GO:1901682,sulfur compound transmembrane transporter activity,0.0008197685205418876,22,785,7
Col-0:root:all,Col-0,root,all,GO:BP,GO:0000103,sulfate assimilation,0.0008445261563694003,20,785,7
Col-0:root:all,Col-0,root,all,GO:BP,GO:0031667,response to nutrient levels,0.0008794139559524673,225,785,22
Col-0:root:all,Col-0,root,all,KEGG,KEGG:01110,Biosynthesis of secondary metabolites,0.0008985395308569044,1329,785,67
Col-0:root:all,Col-0,root,all,GO:BP,GO:0001666,response to hypoxia,0.0012345392101772916,266,785,24
Col-0:root:all,Col-0,root,all,KEGG,KEGG:00999,Biosynthesis of various plant secondary metabolites,0.0012909129561259624,67,785,10
Col-0:root:all,Col-0,root,all,GO:BP,GO:0071705,nitrogen compound transport,0.0014250694568955342,306,785,26
Col-0:root:all,Col-0,root,all,GO:BP,GO:0006833,water transport,0.0014760568341986272,30,785,8
Col-0:root:all,Col-0,root,all,GO:BP,GO:0042044,fluid transport,0.0014760568341986272,30,785,8
Col-0:root:all,Col-0,root,all,GO:BP,GO:0036293,response to decreased oxygen levels,0.001605527336428851,270,785,24
Col-0:root:all,Col-0,root,all,GO:BP,GO:0070482,response to oxygen levels,0.0017129845894494444,271,785,24
Col-0:root:all,Col-0,root,all,GO:CC,GO:0042807,central vacuole,0.001720177583226524,6,785,4
Col-0:root:all,Col-0,root,all,GO:BP,GO:0006040,amino sugar metabolic process,0.0019377084531177347,31,785,8
Col-0:root:all,Col-0,root,all,GO:MF,GO:0015112,nitrate transmembrane transporter activity,0.0021372959220702344,25,785,7
Col-0:root:all,Col-0,root,all,GO:CC,GO:0099503,secretory vesicle,0.0021442389715377215,170,785,17
Col-0:root:all,Col-0,root,all,GO:CC,GO:0005886,plasma membrane,0.00236581187125841,2484,785,110
Col-0:root:all,Col-0,root,all,GO:MF,GO:0015291,secondary active transmembrane transporter activity,0.0027736242880992317,272,785,23
Col-0:root:all,Col-0,root,all,GO:MF,GO:0003700,DNA-binding transcription factor activity,0.0029510522387523456,1502,785,75
Col-0:root:all,Col-0,root,all,GO:BP,GO:0006575,modified amino acid metabolic process,0.003236255685854012,94,785,13
Col-0:root:all,Col-0,root,all,GO:BP,GO:0098771,inorganic ion homeostasis,0.0040690944286596075,126,785,15
Col-0:root:all,Col-0,root,all,GO:BP,GO:0015706,nitrate transmembrane transport,0.0045984245596056555,25,785,7
Col-0:root:all,Col-0,root,all,GO:BP,GO:0016998,cell wall macromolecule catabolic process,0.0048345575256189995,17,785,6
